hpo_id,english_term,chinese_term,english_description,chinese_description
HP:0003358,Elevated intracellular cystine ,胞内胱氨酸浓度升高,"An increased concentration of cystine within cells. This finding can be demonstrated on leukocytes, but is not specific to blood cells. ",校对中... 
HP:0003359,Decreased urinary sulfate ,尿硫酸盐减少,Decreased concentration of sulfate in the urine. ,校对中... 
HP:0003362,Increased VLDL cholesterol concentration ,循环系统内的极低密度脂蛋白胆固醇浓度增高,An increase in the amount of very-low-density lipoprotein cholesterol in the blood. ,校对中... 
HP:0003363,Abdominal situs inversus ,腹部内脏逆位,"A left-right reversal (or ""mirror reflection"") of the anatomical location of the viscera of the abdomen. ",校对中... 
HP:0003365,Arthralgia of the hip ,髋关节痛,Joint pain affecting the hip. ,校对中... 
HP:0003366,Abnormal femoral neck/head morphology ,股骨颈/头形态异常, , 
HP:0003370,Flat capital femoral epiphysis ,股骨近端骨骺扁平,An abnormal flattening of the proximal epiphysis of the femur. ,校对中... 
HP:0003371,Enlargement of the proximal femoral epiphysis ,股骨近端骨骺膨大,An abnormal enlargement of the proximal epiphysis of the femur. ,校对中... 
HP:0003375,Narrow greater sciatic notch ,坐骨大切迹变窄,"A narrowing of the sacrosciatic notch, i.e., the deep indentation in the posterior border of the hip bone at the point of union of the ilium and ischium. ",校对中... 
HP:0003376,Steppage gait ,跨阈步态,"An abnormal gait pattern that arises from weakness of the pretibial and peroneal muscles due to a lower motor neuron lesion. Affected patients have footdrop and are unable to dorsiflex and evert the foot. The leg is lifted high on walking so that the toes clear the ground, and there may be a slapping noise when the foot strikes the ground again. ",校对中... 
HP:0003378,Axonal degeneration/regeneration ,轴索变性/再生,A pattern of simultaneous degeneration and regeneration of axons (see comment). ,校对中... 
HP:0003380,Decreased number of peripheral myelinated nerve fibers ,周围有髓神经纤维数量减少,"A loss of myelinated nerve fibers in the peripheral nervous system (in general, this finding can be observed on nerve biopsy). ",校对中... 
HP:0003382,Hypertrophic nerve changes ,肥厚性神经改变, , 
HP:0003383,Onion bulb formation ,洋葱球形成,"Repeated episodes of segmental demyelination and remyelination lead to the accumulation of supernumerary Schwann cells around axons, which is referred to as onion bulb formation. This finding affects peripheral nerves. ",校对中... 
HP:0003384,Peripheral axonal atrophy ,外围神经轴索萎缩,Atrophic changes of axons of the peripheral nervous system. ,校对中... 
HP:0003387,Decreased number of large peripheral myelinated nerve fibers ,大的周围有髓鞘神经纤维数量减少,A reduced number of large myelinated nerve fibers. ,校对中... 
HP:0003388,Easy fatigability ,易疲劳性,Increased susceptibility to fatigue. ,校对中... 
HP:0003390,Sensory axonal neuropathy ,感觉轴索神经病,An axonal neuropathy of peripheral sensory nerves. ,校对中... 
HP:0003391,Gowers sign ,高尔斯征,A phenomenon whereby patients are not able to stand up without the use of the hands owing to weakness of the proximal muscles of the lower limbs. ,校对中... 
HP:0003392,First dorsal interossei muscle weakness ,第一背侧骨间肌无力, , 
HP:0003393,Thenar muscle atrophy ,鱼际肌萎缩,"Wasting of thenar muscles, which are located on palm of the hand at the base of the thumb. ",校对中... 
HP:0003394,Muscle spasm ,肌肉痉挛,Sudden and involuntary contractions of one or more muscles. ,校对中... 
HP:0003396,Syringomyelia ,脊髓空洞症,"Dilated, glial-lined cavity in spinal cord. This cavity does not communicate with the central canal, and usually is between the dorsal columns unilaterally or bilaterally along the side of the cord. ",校对中... 
HP:0003397,Generalized hypotonia due to defect at the neuromuscular junction ,由于神经肌肉接头缺陷导致的广泛性肌张力减低, , 
HP:0003400,Basal lamina onion bulb formation ,基底层“洋葱头样”改变,A type of onion bulb formation prominently affecting the area of the basal lamina. ,校对中... 
HP:0003401,Paresthesia ,感觉异常,"Abnormal sensations such as tingling, pricking, or numbness of the skin with no apparent physical cause. ",校对中... 
HP:0003402,Decreased miniature endplate potentials ,微终板电位降低,"An abnormal reduction in the amplitude of the miniature endplate potentials, i.e. the postsynaptic response to transmitter released from an individual vesicle at the neuromuscular junction. ",校对中... 
HP:0003403,EMG: decremental response of compound muscle action potential to repetitive nerve stimulation ,EMG,A compound muscle action potential (CMAP) is a type of electromyography (EMG). CMAP refers to a group of almost simultaneous action potentials from several muscle fibers in the same area evoked by stimulation of the supplying motor nerve and are recorded as one multipeaked summated action potential. This abnormality refers to a greater than normal decrease in the amplitude during the course of the investigation. ,校对中... 
HP:0003405,Diffuse axonal swelling ,弥漫性轴索肿胀, , 
HP:0003406,Peripheral nerve compression ,周围神经受压, , 
HP:0003409,Distal sensory impairment of all modalities ,远端各种感觉障碍, , 
HP:0003411,Proximal femoral metaphyseal irregularity ,股骨近端干骺端不规则,Irregularity of the normally smooth surface of the proximal metaphysis of the femur. ,校对中... 
HP:0003413,Atlantoaxial abnormality ,寰枢椎畸形,"An anomaly of the atlantoaxial joint, i.e., of the joint between the first (atlas) and second (axis) cervical vertebrae. ",校对中... 
HP:0003414,Atlantoaxial dislocation ,寰枢椎脱位,Partial dislocation of the atlantoaxial joint. ,校对中... 
HP:0003416,Spinal canal stenosis ,椎管狭窄,An abnormal narrowing of the spinal canal. ,校对中... 
HP:0003417,Coronal cleft vertebrae ,冠状位脊柱裂,Frontal schisis (cleft or cleavage) of vertebral bodies. ,校对中... 
HP:0003418,Back pain ,背部疼痛,"An unpleasant sensation characterized by physical discomfort (such as pricking, throbbing, or aching) localized to the back. ",校对中... 
HP:0003419,Low back pain ,下背部疼痛,"An unpleasant sensation characterized by physical discomfort (such as pricking, throbbing, or aching) localized to the lower back. ",校对中... 
HP:0003422,Vertebral segmentation defect ,椎体分节缺陷,An abnormality related to a defect of vertebral separation during development. ,校对中... 
HP:0003423,Thoracolumbar kyphoscoliosis ,胸腰段脊柱后侧凸畸形, , 
HP:0003426,First dorsal interossei muscle atrophy ,第一背侧骨间肌萎缩, , 
HP:0003427,Thenar muscle weakness ,鱼际肌无力, , 
HP:0003429,CNS hypomyelination ,中枢神经系统髓鞘形成减少,Reduced amount of myelin in the central nervous system resulting from defective myelinogenesis. ,校对中... 
HP:0003431,Decreased motor nerve conduction velocity ,运动神经传导速度降低,A type of decreased nerve conduction velocity that affects the motor neuron. ,校对中... 
HP:0003434,Sensory ataxic neuropathy ,感觉性共济失调性神经病, , 
HP:0003435,Cold-induced hand cramps ,寒冷诱发的手肌强直, , 
HP:0003436,Prolonged miniature endplate currents ,微终板电流延长,"An abnormal prolongation of the miniature endplate potentials, i.e. the postsynaptic response to transmitter released from an individual vesicle at the neuromuscular junction. ",校对中... 
HP:0003438,Absent Achilles reflex ,跟腱反射缺如,"Absence of the Achilles reflex (also known as the ankle jerk reflex), which can normally be elicited by tapping the tendon is tapped while the foot is dorsiflexed. ",校对中... 
HP:0003440,Horizontal sacrum ,水平骶骨, , 
HP:0003443,Decreased size of nerve terminals ,神经终板缩小,A reduction in the size of nerve terminals. ,校对中... 
HP:0003444,EMG: chronic denervation signs ,肌电图:慢性失神经支配的征象,Evidence of chronic denervation on electromyography. ,校对中... 
HP:0003445,EMG: neuropathic changes ,肌电图,"The presence of characteristic findings of denervation on electromyography (fibrillations, positive sharp waves, and giant motor unit potentials). ",校对中... 
HP:0003447,Axonal loss ,轴突缺失,A reduction in the number of axons in the peripheral nervous system. ,校对中... 
HP:0003448,Decreased sensory nerve conduction velocity ,感觉神经传导速度降低,Reduced speed of conduction of the action potential along a sensory nerve. ,校对中... 
HP:0003449,Cold-induced muscle cramps ,冷刺激引起的肌肉痉挛,Sudden and involuntary contractions of one or more muscles brought on by exposure to cold temperatures. ,校对中... 
HP:0003450,Axonal regeneration ,轴突再生,The presence of axonal regeneration following a previous axonal lesion. ,校对中... 
HP:0003451,Increased rate of premature chromosome condensation ,早熟染色体凝缩率增高,An increased rate of premature chromosome condensation. ,校对中... 
HP:0003452,Increased serum iron ,血清铁离子增高, , 
HP:0003453,Antineutrophil antibody positivity ,抗中性粒细胞抗体阳性,The presence of autoantibodies in the serum that react against neutrophils. ,校对中... 
HP:0003454,Platelet antibody positive ,血小板抗体阳性,The presence in the serum of autoantibodies directed against thrombocytes. ,校对中... 
HP:0003455,Elevated circulating long chain fatty acid concentration ,长链脂肪酸水平升高,Increased concentration of long-chain fatty acids in the blood circulation. ,校对中... 
HP:0003456,Low urinary cyclic AMP response to PTH administration ,尿环腺苷酸对甲状旁腺素（PTH）治疗反应低下, , 
HP:0003457,EMG abnormality ,肌电图异常,Abnormal results of investigations using electromyography (EMG). ,校对中... 
HP:0003458,EMG: myopathic abnormalities ,EMG:肌病样异常,"The presence of abnormal electromyographic patterns indicative of myopathy, such as small-short polyphasic motor unit potentials. ",校对中... 
HP:0003459,Polyclonal elevation of IgM ,IgM抗体多克隆性增高,A heterogeneous increase in IgM immunoglobulins characterized by a diffuse band on serum electrophoresis. ,校对中... 
HP:0003460,Decreased circulating total IgA ,循环总 IgA 降低,Undetectable serum immunoglobulin A level at a value < 5 mg/dL (0.05 g/L). ,校对中... 
HP:0003461,Increased urinary O-linked sialopeptides ,尿液唾液酸肽增加,Excretion of peptides conjugated to sialic acid in the urine. ,校对中... 
HP:0003462,Elevated 8-dehydrocholesterol ,8-脱氢胆固醇水平升高, , 
HP:0003463,Increased extraneuronal autofluorescent lipopigment ,神经元外自体荧光脂褐素增加,"Lipofuscin, a generic term applied to autofluorescent lipopigment, is a mixture of protein and lipid that accumulates in most aging cells, particularly those involved in high lipid turnover (e.g., the adrenal medulla) or phagocytosis of other cell types (e g., the retinal pigment epithelium or RPE; macrophage). This term pertains if there is an increase in the extraneuronal accumulation of lipofuscin (also known as autofluorescent lipoprotein) more than expected for the age of the patient. ",校对中... 
HP:0003465,Elevated 8(9)-cholestenol ,8（9）-胆甾烯醇水平升高, , 
HP:0003466,Paradoxical increased cortisol secretion on dexamethasone suppression test ,地塞米松抑制试验皮质醇分泌反常增加, , 
HP:0003467,Atlantoaxial instability ,寰枢椎不稳,Abnormally increased movement at the junction between the first cervical (atlas) and the second cervical (axis) vertebrae as a result of either a bony or ligamentous anomaly. ,校对中... 
HP:0003468,Abnormal vertebral morphology ,椎骨形态异常,An abnormality of one or more of the vertebrae. ,校对中... 
HP:0003469,Peripheral dysmyelination ,外周神经髓鞘化障碍,Defective structure and function of myelin sheaths. Dysmyelination is distinguished from demyleination where there is destruction or damage of previously normal myelination. ,校对中... 
HP:0003470,Paralysis ,瘫痪,"Paralysis of voluntary muscles means loss of contraction due to interruption of one or more motor pathways from the brain to the muscle fibers. Although the word paralysis is often used interchangeably to mean either complete or partial loss of muscle strength, it is preferable to use paralysis or plegia for complete or severe loss of muscle strength, and paresis for partial or slight loss. Motor paralysis results from deficits of the upper motor neurons (corticospinal, corticobulbar, or subcorticospinal). Motor paralysis is often accompanied by an impairment in the facility of movement. ",校对中... 
HP:0003472,Hypocalcemic tetany ,低钙搐搦,"Hyperexcitability of the neuromuscular system related to abnormally low level of calcium in the blood, resulting in carpopedal or generalized spasms. ",校对中... 
HP:0003473,Fatigable weakness ,疲劳性肌无力,"A type of weakness that occurs after a muscle group is used and lessens if the muscle group has some rest. That is, there is diminution of strength with repetitive muscle actions. ",校对中... 
HP:0003474,Somatic sensory dysfunction ,躯体感觉异常,"An abnormality of the primary sensation that is mediated by peripheral nerves (pain, temperature, touch, vibration, joint position). The word hypoesthesia (or hypesthesia) refers to a reduction in cutaneous sensation to a specific type of testing. ",校对中... 
HP:0003477,Peripheral axonal neuropathy ,轴索性周围神经病,An abnormality characterized by disruption of the normal functioning of peripheral axons. ,校对中... 
HP:0003481,Segmental peripheral demyelination/remyelination ,节段性神经末梢脱髓鞘/髓鞘再生,A segmental pattern of demyelination and regeneration (remyelination) affecting peripheral nerves. ,校对中... 
HP:0003482,EMG: axonal abnormality ,肌电图,"Electromyographic (EMG) findings characteristic of axonal neuropathy, with normal or slightly decreased nerve conduction velocities, normal or slightly prolonged distal latencies, but significantly reduced motor potentials and sensory amplitudes. There may be spontaneous activity upon needle EMG studies, such as increased insertional activity, positive sharp waves, and fibrillation potentials. ",校对中... 
HP:0003484,Upper limb muscle weakness ,上肢肌无力,Weakness of the muscles of the arms. ,校对中... 
HP:0003487,Babinski sign ,巴彬斯基征,Upturning of the big toe (and sometimes fanning of the other toes) in response to stimulation of the sole of the foot. If the Babinski sign is present it can indicate damage to the corticospinal tract. ,校对中... 
HP:0003489,Acute episodes of neuropathic symptoms ,神经性症状急性发作, , 
HP:0003491,Elevated urine pyrophosphate ,尿焦磷酸增高,"An abnormally increased diphosphate(4-) concentration in the urine. Diphosphate(4-), as ester with two phosphate groups, is also known as pyrophosphate. ",校对中... 
HP:0003493,Antinuclear antibody positivity ,抗核抗体阳性,The presence of autoantibodies in the serum that react against nuclei or nuclear components. ,校对中... 
HP:0003495,GM2-ganglioside accumulation ,GM2神经节苷脂堆积,Cellular accumulation of GM2 gangliosides. ,校对中... 
HP:0003496,Increased circulating IgM level ,循环IgM水平升高,An abnormally increased level of immunoglobulin M in blood. ,校对中... 
HP:0003498,Disproportionate short stature ,不成比例的身材矮小,A kind of short stature in which different regions of the body are shortened to differing extents. ,校对中... 
HP:0003502,Mild short stature ,轻度身材矮小,"A mild degree of short stature, more than -2 SD but not more than -3 SD from mean corrected for age and sex. ",校对中... 
HP:0003508,Proportionate short stature ,成比例身材矮小,A kind of short stature in which different regions of the body are shortened to a comparable extent. ,校对中... 
HP:0003510,Severe short stature ,严重的身材矮小,"A severe degree of short stature, more than -4 SD from the mean corrected for age and sex. ",校对中... 
HP:0003514,Deficiency or absence of cytochrome b(-245) ,细胞色素b（-245）缺乏或缺失, , 
HP:0003517,Birth length greater than 97th percentile ,出生身长大于97百分位数, , 
HP:0003521,Disproportionate short-trunk short stature ,不成比例的短躯干性矮小,A type of disproportionate short stature characterized by a short trunk but a average-sized limbs. ,校对中... 
HP:0003524,Decreased methionine synthase activity ,甲硫氨酸合成酶活性降低,A reduction in methionine synthase activity. ,校对中... 
HP:0003526,Orotic acid crystalluria ,乳清酸结晶尿症,Formation of crystals owing to an increased concentration of orotic acid in the urine. ,校对中... 
HP:0003527,Hyperprostaglandinuria ,高前列腺素尿症,An increased concentration of prostaglandin in the urine. ,校对中... 
HP:0003528,Elevated calcitonin ,降钙素升高, , 
HP:0003529,Parathormone-independent increased renal tubular calcium reabsorption ,非甲状旁腺激素依赖性肾小管钙重吸收增加,An increase in the reabsorption of calcium by the renal tubulus that is not associated with increased parathormone levels. ,校对中... 
HP:0003530,Elevated circulating glutaric acid concentration ,戊二酸血症,An increased concentration of glutaric acid in the blood. ,校对中... 
HP:0003532,Ornithinuria ,鸟氨酸尿症,An increased concentration of ornithine in the urine. ,校对中... 
HP:0003533,Reduced acetaldehyde dehydrogenase level ,乙醛氧化延迟,Decreased level of acetaldehyde dehydrogenase (ADH). ADH and alcohol dehydrogenase (ALDH) are the primary enzymes involved in alcohol metabolism. ,校对中... 
HP:0003534,Reduced xanthine dehydrogenase level ,黄嘌呤脱氢酶活性降低,An abnormal reduction in xanthine dehydrogenase level. ,校对中... 
HP:0003535,3-Methylglutaconic aciduria ,3-甲基戊烯二酸尿症,An increased amount of 3-methylglutaconic acid in the urine. ,校对中... 
HP:0003536,Decreased fumarate hydratase activity ,延胡索酸水解酶活性降低,An abnormality of Krebs cycle metabolism that is characterized by a decreased rate of fumarate hydratase activity. ,校对中... 
HP:0003537,Hypouricemia ,低尿酸血症,An abnormally low level of uric acid in the blood. ,校对中... 
HP:0003538,Increased serum iduronate sulfatase level ,血清艾杜糖醛硫酸酯酶活性增高,An increased level of iduronate-2-sulfatase activity in the blood. ,校对中... 
HP:0003540,Impaired platelet aggregation ,血小板聚集障碍,"An impairment in the rate and degree to which platelets aggregate after the addition of an agonist that stimulates platelet clumping. Platelet aggregation is measured using aggregometer to measure the optical density of platelet-rich plasma, whereby platelet aggregation causes the plasma to become more transparent. ",校对中... 
HP:0003541,Urinary glycosaminoglycan excretion ,糖胺聚糖尿排泄,Excretion of glycosaminoglycan in the urine. Glycosaminoglycans are long unbranched polysaccharides consisting of a repeating disaccharide unit. ,校对中... 
HP:0003542,Increased serum pyruvate ,血清丙酮酸增高,An increased concentration of pyruvate in the blood. ,校对中... 
HP:0003546,Exercise intolerance ,运动不耐受,A functional motor deficit where individuals whose responses to the challenges of exercise fail to achieve levels considered normal for their age and gender. ,校对中... 
HP:0003547,Shoulder girdle muscle weakness ,肩胛带肌肉无力,"The shoulder, or pectoral, girdle is composed of the clavicles and the scapulae. Shoulder-girdle weakness refers to lack of strength of the muscles attaching to these bones, that is, lack of strength of the muscles around the shoulders. ",校对中... 
HP:0003548,Subsarcolemmal accumulations of abnormally shaped mitochondria ,肌膜下形态异常的线粒体沉积,"An abnormally increased number of mitochondria in the cytoplasma adjacent to the sarcolemma (muscle cell membrane), whereby the mitochondria also possess an abnormal morphology. ",校对中... 
HP:0003549,Abnormality of connective tissue ,结缔组织异常,"Any abnormality of the soft tissues, including both connective tissue (tendons, ligaments, fascia, fibrous tissues, and fat). ",校对中... 
HP:0003550,Predominantly lower limb lymphedema ,主要累及下肢的淋巴水肿,"Localized fluid retention and tissue swelling caused by a compromised lymphatic system, affecting mainly the legs. ",校对中... 
HP:0003551,Difficulty climbing stairs ,爬楼梯困难,Reduced ability to climb stairs. ,校对中... 
HP:0003552,Muscle stiffness ,肌肉僵硬,A condition in which muscles cannot be moved quickly without accompanying pain or spasm. ,校对中... 
HP:0003554,Type 2 muscle fiber atrophy ,2型肌纤维萎缩,Atrophy (wasting) affecting primary type 2 muscle fibers. This feature in general can only be observed on muscle biopsy. ,校对中... 
HP:0003555,Muscle fiber splitting ,肌纤维分裂,"Fiber splitting or branching is a common finding in human and rat skeletal muscle pathology. Fiber splitting refers to longitudinal halving of the complete fiber, while branching originates from a regenerating end of a necrotic fiber as invaginations of the sarcolemma. In fiber branching, one end of the fiber remains intact as a single entity, while the other end has several branches. ",校对中... 
HP:0003557,Increased variability in muscle fiber diameter ,肌纤维直径变异性增大,An abnormally high degree of muscle fiber size variation. This phenotypic feature can be observed upon muscle biopsy. ,校对中... 
HP:0003558,Viral infection-induced rhabdomyolysis ,病毒感染诱导的横纹肌瘤,Rhabdomyolysis induced by a viral infection. ,校对中... 
HP:0003559,Muscle hyperirritability ,腱反射亢进, , 
HP:0003560,Muscular dystrophy ,肌营养不良,"The term dystrophy means abnormal growth. However, muscular dystrophy is used to describe primary myopathies with a genetic basis and a progressive course characterized by progressive skeletal muscle weakness and wasting, defects in muscle proteins, and histological features of muscle fiber degeneration (necrosis) and regeneration. If possible, it is preferred to use other HPO terms to describe the precise phenotypic abnormalities. ",校对中... 
HP:0003561,Birth length less than 3rd percentile ,出生身长小于第3百分位数, , 
HP:0003562,Abnormal metaphyseal vascular invasion ,干骺端血管异常侵犯, , 
HP:0003563,Decreased LDL cholesterol concentration ,低β-脂蛋白血症​​,An decreased concentration of low-density lipoprotein cholesterol in the blood. ,校对中... 
HP:0003564,Folate-dependent fragile site at Xq28 ,叶酸依赖性Xq28脆性位点,The presence of a folate sensitive fragile site at chromosome Xq28. ,校对中... 
HP:0003565,Elevated erythrocyte sedimentation rate ,红细胞沉降速度升高,An increased erythrocyte sedimentation rate (ESR). The ESR is a test that measures the distance that erythrocytes have fallen after one hour in a vertical column of anticoagulated blood under the influence of gravity. The ESR is a nonspecific finding. An elevation may indicate inflammation or may be caused by any condition that elevates fibrinogen. ,校对中... 
HP:0003566,Increased serum prostaglandin E2 ,血清前列腺素E2增高,An increased concentration of prostaglandin E2 in the blood. ,校对中... 
HP:0003568,Decreased glucosephosphate isomerase level ,葡萄糖磷酸异构酶活性降低,A decreased level of glucose-6-phosphate isomerase. ,校对中... 
HP:0003570,Molybdenum cofactor deficiency ,钼辅助因子缺乏,"Absence of molybdenum cofactor(2-), a cofactor for enzymes including sulfite oxidase, xanthine oxidoreductase, and aldehyde oxidase. ",校对中... 
HP:0003572,Low plasma citrulline ,低血浆瓜氨酸,A decreased concentration of citrulline in the blood. ,校对中... 
HP:0003573,Increased total bilirubin ,总胆红素增加,Increased concentration of total (conjugated and unconjugated) bilirubin in the blood. ,校对中... 
HP:0003574,Positive regitine blocking test ,酚妥拉明阻断试验阳性,"A positive response to the regitine blocking test consisting of a substantial reduction in blood pressure following administration of regitine, indicative of the presence of increased levels of epinephrine and norepinephrine in the circulation, which is seen in pheochromocytoma-associated hypertension. ",校对中... 
HP:0003575,Increased intracellular sodium ,细胞内钠离子浓度增高,An abnormally increased sodium concentration in the cytosol. ,校对中... 
HP:0003577,Congenital onset ,先天发病,A phenotypic abnormality that is present at birth. ,校对中... 
HP:0003581,Adult onset ,成年期发病,"Onset of disease manifestations in adulthood, defined here as at the age of 16 years or later. ",校对中... 
HP:0003584,Late onset ,老年期发病,A type of adult onset with onset of symptoms after the age of 60 years. ,校对中... 
HP:0003587,Insidious onset ,隐袭发病,"Gradual, very slow onset of disease manifestations. ",校对中... 
HP:0003593,Infantile onset ,婴儿期发病,Onset of signs or symptoms of disease between 28 days to one year of life. ,校对中... 
HP:0003596,Middle age onset ,中年期发病,A type of adult onset with onset of symptoms at the age of 40 to 60 years. ,校对中... 
HP:0003606,Absent urinary urothione ,尿硫蝶呤缺乏,Lack of urothione (the urinary metabolite of molybdenum cofactor) in the urine. ,校对中... 
HP:0003607,4-hydroxyphenylacetic aciduria ,4-羟基苯乙酸尿症,Increased concentration of 4-hydroxyphenylacetic acid in the urine. ,校对中... 
HP:0003609,Foam cells with lamellar inclusion bodies ,层状包涵体泡沫细胞,The presence of foam cells that contain lamellar inclusion bodies. ,校对中... 
HP:0003612,Positive ferric chloride test ,三氯化铁试验阳性,"If positive, the ferric chloride test indicates an increased concentration of phenols in the urine or blood. ",校对中... 
HP:0003613,Antiphospholipid antibody positivity ,抗磷脂抗体阳性,The presence of circulating autoantibodies to phospholipids. ,校对中... 
HP:0003614,Trimethylaminuria ,三甲胺尿症,Increased concentration of trimethylamine in the urine. ,校对中... 
HP:0003616,Premature separation of centromeric heterochromatin ,着丝粒异染色质的过早分离, , 
HP:0003621,Juvenile onset ,青少年期发病,Onset of signs or symptoms of disease between the age of 5 and 15 years. ,校对中... 
HP:0003623,Neonatal onset ,新生儿期发病,Onset of signs or symptoms of disease within the first 28 days of life. ,校对中... 
HP:0003634,Amyoplasia ,广泛肌肉发育不良,"Congenital lack of development of the muscles, which are then replaced by a mixture of dense fat and fibrous tissue. ",校对中... 
HP:0003635,Loss of subcutaneous adipose tissue in limbs ,四肢皮下脂肪组织丢失,Loss (disappearance) of previously present subcutaneous fat tissue in arm or leg. ,校对中... 
HP:0003639,Elevated urinary epinephrine ,尿肾上腺素增高,An increased concentration of adrenaline in the urine. ,校对中... 
HP:0003640,Foam cells in visceral organs and CNS ,内脏与中枢神经系统泡沫细胞, , 
HP:0003641,Hemoglobinuria ,血红蛋白尿,The presence of free hemoglobin in the urine. ,校对中... 
HP:0003642,Type I transferrin isoform profile ,I型转铁蛋白异构体谱,"Abnormal transferrin isoform profile consistent with a type I congenital disorder of glycosylation. In the traditional nomenclature for congenital disorders of glycosylation, absence of entire glycans was designated type I, and loss of one or more monosaccharides as type II. ",校对中... 
HP:0003643,Sulfite oxidase deficiency ,亚硫酸氧化酶缺乏症,Abnormally reduced sulfite oxidase level. ,校对中... 
HP:0003645,Prolonged partial thromboplastin time ,部分凝血活酶时间延长,"Increased time to coagulation in the partial thromboplastin time (PTT) test, a measure of the intrinsic and common coagulation pathways. Phospholipid, and activator, and calcium are mixed into an anticoagulated plasma sample, and the time is measured until a thrombus forms. ",校对中... 
HP:0003646,Bicarbonaturia ,尿重碳酸氢盐增多,Abnormally increased concentration of hydrogencarbonate in the urine. ,校对中... 
HP:0003647,Electron transfer flavoprotein-ubiquinone oxidoreductase defect ,电子传递黄素蛋白 - 泛醌氧化还原酶缺陷,A deficiency of the electron transfer flavoprotein-ubiquinone oxidoreductase. ,校对中... 
HP:0003648,Lacticaciduria ,乳酸血症,An increased concentration of lactic acid in the urine. ,校对中... 
HP:0003651,Foam cells ,泡沫细胞,"The presence of foam cells, a type of macrophage that localizes to fatty deposits on blood vessel walls, where they ingest low-density lipoproteins and become laden with lipids, giving them a foamy appearance. ",校对中... 
HP:0003652,Recurrent myoglobinuria ,复发性肌红蛋白尿,"Recurring episodes of myoglobinuria, i.e., of the presence of myoglobin in the urine. This is usually a consequence of rhabdomyolysis, i.e., of the destruction of muscle tissue. ",校对中... 
HP:0003653,Cellular metachromasia ,细胞异染,"Metachromasia (also known as metachromacy) is a characteristic color change which certain aniline dyes exhibit when bound to particular substances or when concentrated in solution. For example, the basic dye toluidine blue becomes distinctly pink when bound to cartilage matrix. In the sense used here, the metachromasia refers to a change in color not observed with normal tissues, anomalous staining with the cationic dyes toluidine blue O and Alcian blue resulting from excessive amounts of the polyanionic glycosaminoglycans. ",校对中... 
HP:0003654,Reduced dihydropyrimidine dehydrogenase level ,双氢嘧啶脱氢酶活性降低,An abnormal reduction in dihydropyrimidine dehydrogenase (NADP+) level. ,校对中... 
HP:0003655,Reduced level of N-acetylglucosaminyltransferase II ,N-乙酰氨基葡萄糖转移酶II活性降低,"An abnormality of glycoprotein metabolism related to a decreased level of alpha-1,6-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity. ",校对中... 
HP:0003656,Decreased beta-glucocerebrosidase level ,β-葡萄糖脑苷脂酶蛋白和活性降低,"Reduced level of the enzyme beta-glucosidase, an enzyme that catalyzes the hydrolysis of glucosylceramide into ceramide and glucose. ",校对中... 
HP:0003657,Granular osmiophilic deposits (GROD) in cells ,胞内嗜锇颗粒沉积, , 
HP:0003658,Hypomethioninemia ,低甲硫氨酸血症,A decreased concentration of methionine in the blood. ,校对中... 
HP:0003674,Onset ,发病期,The age group in which disease manifestations appear. ,校对中... 
HP:0003676,Progressive ,进行性/渐进性,"Applies to a disease manifestation that increases in scope or severity over the course of time, i.e., that worsens with age. ", 
HP:0003677,Slowly progressive ,缓慢进展,Applies to a disease manifestation that only slowly increases in scope or severity over the course of time. , 
HP:0003678,Rapidly progressive ,快速进展,Applies to a disease manifestation that quickly increases in scope or severity over the course of time. , 
HP:0003680,Nonprogressive ,非进行性,"Applies to a disease manifestation that does not increase in scope or severity over the course of time, i.e., that does not worsen with age. ", 
HP:0003683,Large beaked nose ,大喙鼻, , 
HP:0003687,Centrally nucleated skeletal muscle fibers ,中央成核的骨骼肌纤维,An abnormality in which the nuclei of sarcomeres take on an abnormally central localization (or in which this feature is found in an increased proportion of muscle cells). ,校对中... 
HP:0003688,Cytochrome C oxidase-negative muscle fibers ,细胞色素C氧化酶阴性肌肉纤维,An abnormally reduced activity of the enzyme cytochrome C oxidase in muscle tissue. ,校对中... 
HP:0003689,Multiple mitochondrial DNA deletions ,线粒体DNA多处缺失,The presence of multiple deletions of mitochondrial DNA (mtDNA). ,校对中... 
HP:0003690,Limb muscle weakness ,四肢肌肉无力,Reduced strength and weakness of the muscles of the arms and legs. ,校对中... 
HP:0003691,Scapular winging ,翼状肩胛,Abnormal protrusion of the scapula away from the surface of the back. ,校对中... 
HP:0003693,Distal amyotrophy ,远端肌肉萎缩,Muscular atrophy affecting muscles in the distal portions of the extremities. ,校对中... 
HP:0003694,Late-onset proximal muscle weakness ,晚发性近端肌无力,Lack of strength of the proximal musculature occurring late in the clinical course. ,校对中... 
HP:0003697,Scapuloperoneal amyotrophy ,肩腓肌萎缩,Muscular atrophy in the distribution of shoulder girdle and peroneal muscles. ,校对中... 
HP:0003698,Difficulty standing ,站立困难, , 
HP:0003700,Generalized amyotrophy ,泛发性肌萎缩,"Generalized (diffuse, unlocalized) amyotrophy (muscle atrophy) affecting multiple muscles. ",校对中... 
HP:0003701,Proximal muscle weakness ,近端肌肉无力,A lack of strength of the proximal muscles. ,校对中... 
HP:0003704,Scapuloperoneal weakness ,肩腓肌无力, , 
